iter	Passed	Remaining
0	87	87008
1	87	43837
2	88	29369
3	88	22132
4	89	17782
5	89	14879
6	90	12833
7	91	11307
8	92	10134
9	92	9172
10	93	8393
11	94	7754
12	94	7190
13	95	6714
14	95	6300
15	96	5938
16	97	5615
17	97	5335
18	98	5087
19	99	4855
20	99	4644
21	100	4451
22	100	4277
23	101	4122
24	101	3977
25	102	3840
26	103	3720
27	103	3609
28	104	3502
29	105	3400
30	105	3303
31	106	3212
32	106	3126
33	107	3049
34	107	2976
35	108	2905
36	109	2840
37	109	2779
38	110	2722
39	111	2665
40	111	2608
41	112	2556
42	112	2507
43	113	2466
44	114	2421
45	114	2382
46	115	2341
47	116	2302
48	116	2265
49	117	2228
50	117	2192
51	118	2157
52	118	2122
53	119	2090
54	119	2060
55	120	2032
56	121	2005
57	121	1979
58	122	1954
59	123	1930
60	123	1905
61	124	1880
62	124	1856
63	125	1837
64	126	1819
65	127	1799
66	127	1781
67	128	1763
68	129	1745
69	129	1725
70	130	1706
71	130	1687
72	131	1669
73	132	1653
74	132	1637
75	133	1621
76	133	1605
77	134	1591
78	135	1577
79	135	1562
80	136	1547
81	136	1532
82	137	1514
83	137	1500
84	138	1487
85	138	1475
86	139	1463
87	139	1450
88	141	1446
89	141	1434
90	142	1421
91	142	1410
92	143	1398
93	144	1388
94	144	1380
95	145	1370
96	146	1360
97	146	1350
98	147	1342
99	148	1333
100	148	1322
101	149	1312
102	149	1302
103	150	1294
104	150	1285
105	151	1276
106	151	1268
107	152	1259
108	153	1251
109	153	1243
110	154	1234
111	154	1226
112	155	1217
113	155	1210
114	156	1202
115	156	1195
116	157	1188
117	158	1181
118	158	1175
119	159	1168
120	159	1161
121	160	1154
122	160	1147
123	161	1141
124	162	1134
125	163	1130
126	163	1124
127	164	1118
128	164	1112
129	165	1106
130	165	1100
131	166	1094
132	166	1088
133	167	1081
134	167	1076
135	168	1070
136	169	1066
137	170	1062
138	170	1057
139	171	1051
140	171	1046
141	172	1040
142	172	1034
143	173	1029
144	173	1024
145	174	1020
146	175	1015
147	175	1011
148	176	1007
149	176	1002
150	177	997
151	177	992
152	178	988
153	179	984
154	179	979
155	180	975
156	180	971
157	181	968
158	182	964
159	183	961
160	183	955
161	183	951
162	184	946
163	184	942
164	185	937
165	185	933
166	186	929
167	186	924
168	187	920
169	187	917
170	188	914
171	189	911
172	190	909
173	190	906
174	191	902
175	192	899
176	192	895
177	193	891
178	193	887
179	194	884
180	194	881
181	195	878
182	196	875
183	196	872
184	197	868
185	197	865
186	198	861
187	198	857
188	199	854
189	199	850
190	200	847
191	200	844
192	201	841
193	201	838
194	202	835
195	202	831
196	203	828
197	203	825
198	204	822
199	204	819
200	205	817
201	206	814
202	207	813
203	207	810
204	208	807
205	208	804
206	209	801
207	209	798
208	210	795
209	210	792
210	211	789
211	211	786
212	212	783
213	212	781
214	213	778
215	213	776
216	214	773
217	215	771
218	215	768
219	216	766
220	216	763
221	217	761
222	217	759
223	218	756
224	219	755
225	219	752
226	220	750
227	221	748
228	221	746
229	222	743
230	222	741
231	223	738
232	223	736
233	224	734
234	224	732
235	225	730
236	226	727
237	226	725
238	227	723
239	227	721
240	228	719
241	229	717
242	229	715
243	230	713
244	230	711
245	231	709
246	232	707
247	232	705
248	233	703
249	233	701
250	234	699
251	235	697
252	235	695
253	236	693
254	236	691
255	237	689
256	237	687
257	238	685
258	239	684
259	239	682
260	240	679
261	240	677
262	241	675
263	241	673
264	242	671
265	242	669
266	243	668
267	244	667
268	244	665
269	245	664
270	246	662
271	246	660
272	247	659
273	247	657
274	248	654
275	249	653
276	249	651
277	250	649
278	250	648
279	251	647
280	252	645
281	252	644
282	253	642
283	254	640
284	254	639
285	255	637
286	256	636
287	256	635
288	257	633
289	258	632
290	258	630
291	259	629
292	260	627
293	260	626
294	261	624
295	262	624
296	263	623
297	264	621
298	264	620
299	265	618
300	265	617
301	266	615
302	266	613
303	267	611
304	267	610
305	268	608
306	269	607
307	269	606
308	270	604
309	271	603
310	271	601
311	272	600
312	272	598
313	273	597
314	273	595
315	274	594
316	275	593
317	276	592
318	276	590
319	277	589
320	277	587
321	278	586
322	278	584
323	279	583
324	280	581
325	280	580
326	281	578
327	281	577
328	282	575
329	282	574
330	283	573
331	284	571
332	284	570
333	285	568
334	285	567
335	286	565
336	286	564
337	287	562
338	288	561
339	288	560
340	289	558
341	289	557
342	290	555
343	290	554
344	291	552
345	291	551
346	292	549
347	292	548
348	293	546
349	293	545
350	294	544
351	294	542
352	295	541
353	295	540
354	296	538
355	297	537
356	297	535
357	298	534
358	298	533
359	299	531
360	299	530
361	300	529
362	300	527
363	301	526
364	301	525
365	302	523
366	302	522
367	303	520
368	303	519
369	304	518
370	305	517
371	305	515
372	306	514
373	306	513
374	307	512
375	308	511
376	308	509
377	309	508
378	309	507
379	310	506
380	310	504
381	311	503
382	311	502
383	312	501
384	313	500
385	313	499
386	314	498
387	315	496
388	315	495
389	316	494
390	316	493
391	317	491
392	317	490
393	318	490
394	319	489
395	319	487
396	320	486
397	320	485
398	321	484
399	321	482
400	322	481
401	322	480
402	323	479
403	324	478
404	324	477
405	325	475
406	326	475
407	326	473
408	327	472
409	327	471
410	328	470
411	328	469
412	329	468
413	329	466
414	330	465
415	330	464
416	331	463
417	332	462
418	332	461
419	333	460
420	333	459
421	334	457
422	334	456
423	335	455
424	335	454
425	336	452
426	336	451
427	337	450
428	338	449
429	338	449
430	339	447
431	339	446
432	340	445
433	340	444
434	341	443
435	342	442
436	342	441
437	343	440
438	344	439
439	344	438
440	345	437
441	345	436
442	346	435
443	346	434
444	347	432
445	347	431
446	347	430
447	348	429
448	348	428
449	349	427
450	350	426
451	350	425
452	351	424
453	351	423
454	352	421
455	352	420
456	353	419
457	353	418
458	354	417
459	354	416
460	355	415
461	355	414
462	356	413
463	357	412
464	358	411
465	358	411
466	359	410
467	360	409
468	360	408
469	361	407
470	361	406
471	362	405
472	363	404
473	363	403
474	364	403
475	365	402
476	365	401
477	366	400
478	367	399
479	367	398
480	368	397
481	369	396
482	369	395
483	370	394
484	370	393
485	371	392
486	372	391
487	372	390
488	373	389
